報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象
112001768,24,4,ある, , , , ,水分, , ,水分 ある
112001768,25,4,上昇する, , , , ,粘度, , ,粘度 上昇する
112001768,26,14,上昇する, , , , ,粘度, , ,粘度 上昇する
112001768,27,5,なる, , , , , , ,低下の要因のひとつ,低下の要因のひとつ なる
112001768,27,19,受ける, , ,潤滑油の分子, , , , ,潤滑油の分子 受ける
112001768,30,6,一致する, , , , , , ,使用油のスペクトルパターン,使用油のスペクトルパターン 一致する
112002877,2,3,ある, , , , ,減速機減速機, , ,減速機減速機 ある
112002877,3,6,発生する, , , , , ,ギヤ歯面, ,ギヤ歯面 発生する
112002877,3,6,発生する, , , , , ,軌道面, ,軌道面 発生する
112002877,4,12,異なる, , ,異種油の混入, , , , ,異種油の混入 異なる
112002877,4,12,異なる, , ,油名, , , , ,油名 異なる
112002877,5,3,ある, , , , ,設備の条件, , ,設備の条件 ある
112002877,6,12,発見する, ,データの変化, , , , , ,データの変化 発見する
112002877,8,3,懸念する,摩耗の進行, , , , , , ,摩耗の進行 懸念する
112002877,9,11,保持する, , ,機器の機能, , , , ,機器の機能 保持する
112002877,11,2,高い, , , , ,今回のIs値, , ,今回のIs値 高い
112002877,17,3,含む, , , , ,リン, , ,リン 含む
112002877,18,4,起こす, , ,金属表面, , , , ,金属表面 起こす
112002877,18,4,起こす, , ,化学反応, , , , ,化学反応 起こす
112002877,18,7,低下する, , , , ,金属, , ,金属 低下する
112002877,18,9,生成する, , ,低い化合物, , , , ,低い化合物 生成する
112002877,18,12,働く, , ,これ, , , , ,これ 働く
112002877,18,14,防止する, , ,圧添加剤, , , , ,圧添加剤 防止する
112002877,19,4,進行する, , ,リンの消耗, , , , ,リンの消耗 進行する
112002877,19,8,形成する, , , , , ,潤滑部, ,潤滑部 形成する
112002877,19,10,進行する, , ,摩耗, , , , ,摩耗 進行する
112002877,23,1,濾過する, , , , , ,光学顕微鏡写真重量汚染度, ,光学顕微鏡写真重量汚染度 濾過する
112002877,23,5,検出する, , ,濾過したフィルタ表面上の夾雑物, , , , ,濾過したフィルタ表面上の夾雑物 検出する
112002877,23,13,検出する, , ,粘ちょう物, , , , ,粘ちょう物 検出する
112002877,23,13,検出する, , ,金属片, , , , ,金属片 検出する
112002877,23,13,検出する, , ,鉄錆, , , , ,鉄錆 検出する
112002877,23,13,検出する, , ,砂, , , , ,砂 検出する
112002877,25,14,上昇する, , , , ,粘度, , ,粘度 上昇する
112002877,26,8,発生する, , , , , ,潤滑部, ,潤滑部 発生する
112002877,26,11,進行する, , , , ,摩耗の進行, , ,摩耗の進行 進行する
112002877,29,5,一致する, , ,使用油のスペクトルパターン, , , , ,使用油のスペクトルパターン 一致する
113000106,0,5,高い, , ,汚染度, , , , ,汚染度 高い
113000106,1,3,ある, , , , ,軸受, , ,軸受 ある
113000106,3,6,なる, , , , , , ,高い濃度,高い濃度 なる
113000106,4,10,汚染する, , , , ,油槽内, , ,油槽内 汚染する
113000106,5,6,進行する, , , , , ,汚染粒子, ,汚染粒子 進行する
113000106,6,2,する, , , ,更油, , , ,更油 する
113000106,6,5,清掃する, , ,油槽内, , , , ,油槽内 清掃する
113000106,6,9,なる, , , , , , ,油,油 なる
113000106,7,10,発見する, ,データの変化, , , , , ,データの変化 発見する
113000106,11,2,高い, , , , ,今回のIs値, , ,今回のIs値 高い
113000106,13,1,受ける, , ,繰返し応力, , , , ,繰返し応力 受ける
113000106,14,1,混入する, ,外部, , , , , ,外部 混入する
113000106,16,13,上昇する, , , , ,鉄, , ,鉄 上昇する
113000106,16,13,上昇する, , , , ,鉛, , ,鉛 上昇する
113000106,16,13,上昇する, , , , ,銅, , ,銅 上昇する
113000106,16,13,上昇する, , , , ,錫, , ,錫 上昇する
113000106,16,13,上昇する, , , , ,亜鉛・軸受リン, , ,亜鉛・軸受リン 上昇する
113000106,16,13,上昇する, , , , ,モリブデン・添加剤カルシウム, , ,モリブデン・添加剤カルシウム 上昇する
113000106,16,13,上昇する, , , , ,バリウム, , ,バリウム 上昇する
113000106,16,13,上昇する, , , , ,アルミニウム, , ,アルミニウム 上昇する
113000106,16,13,上昇する, , , , ,ケイ素, , ,ケイ素 上昇する
113000106,16,13,上昇する, , , , ,外部混入異物計数汚染度, , ,外部混入異物計数汚染度 上昇する
113000106,17,9,検出する, , , , , ,フィルタ表面の異物観察, ,フィルタ表面の異物観察 検出する
113000106,17,12,高い, , ,汚染度, , , , ,汚染度 高い
113000106,17,18,考える, , , , , , ,外部混入異物の影響,外部混入異物の影響 考える
113000106,18,6,良好, , ,酸価, ,水分, , ,酸価 水分 良好
113000106,18,6,良好, , ,IRのデータ, ,水分, , ,IRのデータ 水分 良好
113001446,1,3,低下する, , ,粘度, , , , ,粘度 低下する
113001446,2,8,分散する, , ,油中の摩耗粒子, , , , ,油中の摩耗粒子 分散する
113001446,3,12,検出する, , ,錫, , , , ,錫 検出する
113001446,3,17,摩耗する,これらの箇所, , , , , , ,これらの箇所 摩耗する
113001446,5,10,発見する, ,データの変化, , , , , ,データの変化 発見する
113001446,7,9,懸念する, , , , , ,潤滑部, ,潤滑部 懸念する
113001446,9,8,出る, , , , ,最適な試料油, , ,最適な試料油 出る
113001446,11,4,ある, , , , ,粘度, , ,粘度 ある
113001446,12,12,なる, , , , , , ,粘度,粘度 なる
113001446,12,16,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある
113001446,18,1,濾過する, , , , , ,光学顕微鏡写真重量汚染度, ,光学顕微鏡写真重量汚染度 濾過する
113001446,18,5,検出する, , ,濾過したフィルタ表面上の夾雑物, , , , ,濾過したフィルタ表面上の夾雑物 検出する
113001446,18,11,検出する, , ,金属片, , , , ,金属片 検出する
113001446,18,11,検出する, , ,すす, , , , ,すす 検出する
113001446,18,11,検出する, , ,鉄錆, , , , ,鉄錆 検出する
113001446,18,11,検出する, , ,砂, , , , ,砂 検出する
113001446,19,3,ある, , , , ,.~μmの範囲, , ,.~μmの範囲 ある
113001446,20,2,多い, , ,μm以下の粒子, , , , ,μm以下の粒子 多い
113001446,28,6,発生する, , ,高い摩擦熱, , , , ,高い摩擦熱 発生する
113001446,29,8,進行する, , , , ,将来的な摩耗の進行, , ,将来的な摩耗の進行 進行する
113001446,30,12,考える,切削摩耗, , , , , , ,切削摩耗 考える
113001446,31,2,なる, , , , , , ,切削摩耗の原因,切削摩耗の原因 なる
113001446,31,4,残留する, , ,混入異物, , , , ,混入異物 残留する
113001446,33,6,起こる, , , ,摺動面での金属同士の接触時, , , ,摺動面での金属同士の接触時 起こる
113001446,33,10,酸化する, , , , , ,高い摩擦熱, ,高い摩擦熱 酸化する
113001446,33,11,発生する, , ,摩耗粒子, , , , ,摩耗粒子 発生する
113001446,34,6,発生する, , , , , ,摺動面, ,摺動面 発生する
113001446,34,9,至る, , , , ,設備の損傷, , ,設備の損傷 至る
113001446,36,18,検出する, , , , , ,鉄, ,鉄 検出する
113001446,36,18,検出する, , , , , ,鉛, ,鉛 検出する
113001446,36,18,検出する, , , , , ,銅, ,銅 検出する
113001446,36,18,検出する, , , , , ,クロム, ,クロム 検出する
113001446,36,18,検出する, , , , , ,アンチモン, ,アンチモン 検出する
113001446,36,18,検出する, , , , , ,ニッケル, ,ニッケル 検出する
113001446,36,18,検出する, , , , , ,錫・エンジン部品リン, ,錫・エンジン部品リン 検出する
113001446,36,18,検出する, , , , , ,亜鉛, ,亜鉛 検出する
113001446,36,18,検出する, , , , , ,カルシウム・添加剤アルミニウム, ,カルシウム・添加剤アルミニウム 検出する
113001446,36,18,検出する, , , , , ,ケイ素, ,ケイ素 検出する
113001446,36,18,検出する, , , , , ,ナトリウム, ,ナトリウム 検出する
113001446,36,18,検出する, , , , , ,マグネシウム, ,マグネシウム 検出する
113001446,36,18,検出する, , , , , ,モリブデン・外部混入異物クランクメタルの摩耗SOAP-T, ,モリブデン・外部混入異物クランクメタルの摩耗SOAP-T 検出する
113001446,37,3,なる, , ,ディーゼルエンジンのクランクメタル, , , , ,ディーゼルエンジンのクランクメタル なる
113001446,37,7,存在する, , , ,クランクメタルの表面, , , ,クランクメタルの表面 存在する
113001446,37,18,存在する, , , ,下, , , ,下 存在する
113001446,38,5,形成する, , ,油膜, , , , ,油膜 形成する
113001446,38,12,考える, , ,ディーゼルエンジンのメタル, , , , ,ディーゼルエンジンのメタル 考える
113001446,38,16,なる, , , ,流体潤滑, , , ,流体潤滑 なる
113001446,38,18,発生する, , , ,メタルの潤滑部, , , ,メタルの潤滑部 発生する
113001446,38,21,摩耗する,メタル表面の軟質金属部, , , , , , ,メタル表面の軟質金属部 摩耗する
113001446,38,26,摩耗する, , , , , , ,下のニッケル部,下のニッケル部 摩耗する
113001446,38,36,検出する, , ,バックメタルの銅, , , , ,バックメタルの銅 検出する
113001446,39,2,進行する, , ,摩耗, , , , ,摩耗 進行する
113001446,39,6,起こす, , ,軸受, , , , ,軸受 起こす
113001980,0,3,ある, , , , ,対象設備, , ,対象設備 ある
113001980,3,7,出来る, , ,潤滑油潤滑油, , , , ,潤滑油潤滑油 出来る
113001980,6,1,粘い, , ,油, , , , ,油 粘い
113001980,8,4,ある, , , ,許容範囲内, , , ,許容範囲内 ある
113001980,8,10,認める,摺動部の摩耗, , , , , , ,摺動部の摩耗 認める
113001980,10,2,高い, , , , ,Is値, , ,Is値 高い
113001980,17,18,検出する, , , , , ,鉄, ,鉄 検出する
113001980,17,18,検出する, , , , , ,鉛, ,鉛 検出する
113001980,17,18,検出する, , , , , ,銅, ,銅 検出する
113001980,17,18,検出する, , , , , ,アンチモン, ,アンチモン 検出する
113001980,17,18,検出する, , , , , ,錫・エンジン部品リン, ,錫・エンジン部品リン 検出する
113001980,17,18,検出する, , , , , ,亜鉛, ,亜鉛 検出する
113001980,17,18,検出する, , , , , ,カルシウム, ,カルシウム 検出する
113001980,17,18,検出する, , , , , ,マグネシウム・添加剤アルミニウム, ,マグネシウム・添加剤アルミニウム 検出する
113001980,17,18,検出する, , , , , ,ナトリウム, ,ナトリウム 検出する
113001980,17,18,検出する, , , , , ,モリブデン・外部混入異物コンロッドメタル, ,モリブデン・外部混入異物コンロッドメタル 検出する
113001980,17,18,検出する, , , , , ,クランクメタルの摩耗SOAP-T, ,クランクメタルの摩耗SOAP-T 検出する
113001980,19,3,検出する, , , , , ,固形カルシウム化合物の生成SOAP-T, ,固形カルシウム化合物の生成SOAP-T 検出する
113001980,20,1,検出する, , , , ,ディーゼルエンジンオイル中, , ,ディーゼルエンジンオイル中 検出する
113001980,20,4,含む, , , ,燃焼ガス中, , , ,燃焼ガス中 含む
113001980,20,6,反応する, , , , , , ,硫黄分,硫黄分 反応する
113001980,20,11,生成する, , , , ,カルシウム, , ,カルシウム 生成する
113001980,24,4,良好, , , , ,水分, , ,水分 良好
113002696,0,2,高い, , ,汚染度, , , , ,汚染度 高い
113002696,1,2,多い, , ,~μmサイズの粒子数, , , , ,~μmサイズの粒子数 多い
113002696,1,10,なる, , , ,モリブデンの影響, , , ,モリブデンの影響 なる
113002696,2,3,ある, , , , ,対象設備, , ,対象設備 ある
113002696,6,10,多い, , , , ,アンチモン, , ,アンチモン 多い
113002696,8,10,ある, , , , ,部分の摩耗, , ,部分の摩耗 ある
113002696,10,3,認める,潤滑部の摩耗, , , , , , ,潤滑部の摩耗 認める
113002696,13,3,懸念する,フレーキングの発生, , , , , , ,フレーキングの発生 懸念する
113002696,15,5,発生する, , ,高い摩擦熱, , , , ,高い摩擦熱 発生する
113002696,16,4,進行する, , ,摩擦面, , , , ,摩擦面 進行する
113002696,16,10,考える, , ,黒錆, , , , ,黒錆 考える
113002696,18,1,良好, , , , ,水分, , ,水分 良好
113002696,19,2,上回る, , , , , , ,計数汚染度計数汚染度,計数汚染度計数汚染度 上回る
113002696,19,5,上昇する, , ,当社推奨の管理限界値, , , , ,当社推奨の管理限界値 上昇する
113002696,20,2,多い, , ,~μmサイズの粒子数, , , , ,~μmサイズの粒子数 多い
113002696,20,10,なる, , , ,モリブデンの影響, , , ,モリブデンの影響 なる
113002696,21,7,良好, , ,酸価, , , , ,酸価 良好
113002696,21,7,良好, , ,IRのデータ, , , , ,IRのデータ 良好
113002698,0,2,高い, , ,汚染度, , , , ,汚染度 高い
113002698,1,2,多い, , ,~μmサイズの粒子数, , , , ,~μmサイズの粒子数 多い
113002698,1,10,なる, , , ,モリブデンの影響, , , ,モリブデンの影響 なる
113002698,2,3,ある, , , , ,減速機減速機, , ,減速機減速機 ある
113002698,5,5,良好, , ,異常摩耗の早期発見のパラメータであるIs値, , , , ,異常摩耗の早期発見のパラメータであるIs値 良好
113002698,6,3,認める,潤滑部の摩耗, , , , , , ,潤滑部の摩耗 認める
113002698,10,4,懸念する,フレーキング, , , , , , ,フレーキング 懸念する
113002698,10,4,懸念する,スポーリングの発生, , , , , , ,スポーリングの発生 懸念する
113002698,11,4,進行する, , ,摩擦面, , , , ,摩擦面 進行する
113002698,11,10,考える, , , ,切削粒子, , , ,切削粒子 考える
113002698,14,6,なる, , , , , , ,接触点,接触点 なる
113002698,16,5,発生する, , , , , ,接触点, ,接触点 発生する
113002698,17,10,小さい, , , , ,十分, , ,十分 小さい
113002698,18,7,深い, , , , ,ウォームホイール歯面, , ,ウォームホイール歯面 深い
113002698,18,9,計算する, ,油量, , , , , ,油量 計算する
113002698,18,9,計算する, ,ウォームホイールの仕様, , , , , ,ウォームホイールの仕様 計算する
113002698,19,8,摩耗する, , , , , , ,ウォームホイールの枚の歯面のピッチ円周,ウォームホイールの枚の歯面のピッチ円周 摩耗する
113002698,20,1,良好, , , , ,水分, , ,水分 良好
113002698,21,4,到達する, , , , ,計数汚染度計数汚染度, , ,計数汚染度計数汚染度 到達する
113002698,22,2,多い, , ,~μmサイズの粒子数, , , , ,~μmサイズの粒子数 多い
113002698,22,10,なる, , , ,モリブデンの影響, , , ,モリブデンの影響 なる
113002698,23,7,良好, , ,酸価, , , , ,酸価 良好
113002698,23,7,良好, , ,IRのデータ, , , , ,IRのデータ 良好
113002926,0,3,ある, , , , ,潤滑油, , ,潤滑油 ある
113002926,1,3,ある, , , , ,増速機増速機, , ,増速機増速機 ある
113002926,2,5,良好, , ,異常摩耗の早期発見のパラメータであるIs値, , , , ,異常摩耗の早期発見のパラメータであるIs値 良好
113002926,3,6,検出する, , ,摩耗粒子, , , , ,摩耗粒子 検出する
113002926,4,3,検出する, , ,疲労摩耗粒子, , , , ,疲労摩耗粒子 検出する
113002926,4,6,稼動する, , , , ,設備, , ,設備 稼動する
113002926,4,10,残存する, ,稼動し, , , , , ,稼動し 残存する
113002926,4,10,残存する, ,いないこと, , , , , ,いないこと 残存する
113002926,4,12,含む, , , ,油中, , , ,油中 含む
113002926,4,14,検出する,含まれ, ,いた疲労摩耗粒子, , , , ,含まれ いた疲労摩耗粒子 検出する
113002926,7,5,不明, , ,約.バックラッシの初期値, , , , ,約.バックラッシの初期値 不明
113002926,7,14,する, , ,増加量の上限値, , , , ,増加量の上限値 する
113002926,8,6,小さい, , , , ,十分, , ,十分 小さい
113002926,9,4,凝着する, , , , ,設備, , ,設備 凝着する
113002926,9,8,補足する, , ,μm以上の摩耗粒子, , , , ,μm以上の摩耗粒子 補足する
113002926,9,18,ある,濃度の偏析, , , , , , ,濃度の偏析 ある
113002926,11,6,吸収する, , ,水分, , , , ,水分 吸収する
113002926,11,8,ある, , , , ,使用油であるAlphasynPG, , ,使用油であるAlphasynPG ある
113002926,12,4,混入する, , ,分析結果SOAP-T添加剤成分であるリン, , , , ,分析結果SOAP-T添加剤成分であるリン 混入する
113002926,13,7,混入する, , ,SOAP-TFE, , , , ,SOAP-TFE 混入する
113002926,13,11,検出する, , ,アルミニウム, , , , ,アルミニウム 検出する
113002926,14,7,ある, , ,フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値, , , , ,フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 ある
113002926,15,14,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある
