Report_id,Sentence_id,before_id,after_id
108003794,33,カルシウム 検出する,カルシウム 検出する
108003794,33,ナトリウム 検出する,ナトリウム 検出する
108003794,34,μm以下の疲労摩耗粒子 検出する,μm以下の疲労摩耗粒子 検出する
108003794,35,良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある,良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある
108003794,35,μm以下の疲労摩耗粒子 検出する,μm以下の疲労摩耗粒子 検出する
108003794,36,鉄 含む,鉄 良好の範囲 含む
108003794,36,クロム 含む,クロム 鉄 含む
108003794,36,マンガン 含む,マンガン クロム 含む
108003794,36,ニッケル 含む,ニッケル マンガン 含む
108003794,36,粒子 検出する,粒子 検出する
108003794,37,観察された粒子 XMA 検出する,観察された粒子 XMA 検出する
108003794,37,鉄 含む,鉄 XMA 含む
108003794,37,クロム 含む,クロム 鉄 含む
108003794,37,マンガン 含む,マンガン クロム 含む
108003794,37,ニッケル 含む,ニッケル マンガン 含む
108003794,37,粒子 検出する,粒子 検出する
109000229,0,沈降の影響 出る,沈降の影響 出る
109000229,0,濃度 出る,濃度 出る
109000229,0,今回の採油 ある,今回の採油 ある
109000229,2,粒子の沈降 油温 ある,粒子の沈降 油温 ある
109000229,2,粒子の沈降 粒子サイズ ある,粒子の沈降 粒子サイズ ある
109000229,3,油温 なる,油温 粒子サイズ なる
109000229,4,沈降速度 油温 変化する,沈降速度 油温 変化する
109000229,4,沈降速度 サイズ 変化する,沈降速度 サイズ 変化する
109000229,5,濃度 濃度 なる,濃度 濃度 なる
109000229,6,油槽内などでの沈降 均衡する,油槽内などでの沈降 濃度 均衡する
109000229,6,油中の濃度 なる,油中の濃度 なる
109000229,6,平衡状態 なる,平衡状態 なる
109000229,6,バランス 崩れる,バランス 油槽内などでの沈降 崩れる
109000229,7,発生 崩れる,発生 油槽内などでの沈降 崩れる
109000229,7,減少の均衡 崩れる,減少の均衡 油槽内などでの沈降 崩れる
109000229,7,これ 低下する,減少の均衡 油槽内などでの沈降 低下する
109000229,7,発生量 低下する,発生量 油槽内などでの沈降 低下する
109000229,7,減少量 大きい,減少量 油槽内などでの沈降 大きい
109000229,7,汚染状態 良好,汚染状態 油槽内などでの沈降 良好
109000229,7,潤滑状態 良好,潤滑状態 油槽内などでの沈降 良好
109000229,8,油中の粒子 低下する,油中の粒子 油槽内などでの沈降 低下する
109000229,8,フィルタ類 設置する,フィルタ類 設置する
109000229,8,減少 考える,減少 油槽内などでの沈降 考える
109000229,8,油中の摩耗粒子 低下する,油中の摩耗粒子 減少 低下する
109000229,8,摩耗粒子 発生する,摩耗粒子 発生する
109000229,8,油槽内部での沈降 ある,油槽内部での沈降 減少 ある
109000229,8,設備 考える,設備 減少 考える
109000229,9,安定した状態 ある,安定した状態 ある
109000229,10,良好の範囲 ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある,良好の範囲 ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある
109000229,11,良好の範囲 ある,良好の範囲 ある
